,name_of_district,name_of_ITI,ITI_code,more_details,Type
0,AGRA,PROCESS & PRODUCT DEVELOPMENT CENTRE PRIVATE ITI FOUNDRY NAGAR [1015 ] - AGRA,1015,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1015,Private
1,AGRA,ANAND PRIVATE ITI BAWANPURA KIRAVALI [1044 ] - AGRA,1044,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1044,Private
2,AGRA,BAIKUNTI DEVI MOHAN LAL PRIVATE ITI [1094 ] - AGRA,1094,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1094,Private
3,AGRA,SHRI RAM ADARSH PRIVATE ITI [1096 ] - AGRA,1096,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1096,Private
4,AGRA,SRI MAHATMA DUDA DHARI SETH JIWARAM PRIVATE ITI SALEH NAGAR BARWARAGRA [1107 ] - AGRA,1107,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1107,Private
5,AGRA,SAUMYA ADARSH PRIVATE ITI [1116 ] - AGRA,1116,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1116,Private
6,AGRA,J.P SHARMA PRIVATE ITI [1118 ] - AGRA,1118,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1118,Private
7,AGRA,SHRI RAM PRIVATE ITI [1120 ] - AGRA,1120,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1120,Private
8,AGRA,SMT. SUKHDEVI PRIVATE ITI [1127 ] - AGRA,1127,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1127,Private
9,AGRA,B.S. PRIVATE ITI [1137 ] - AGRA,1137,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1137,Private
10,AGRA,SHRI UDAIBEER SINGH PRIVATE ITI [1134 ] - AGRA,1134,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1134,Private
11,AGRA,BHARAT PRIVATE ITI [1161 ] - AGRA,1161,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1161,Private
12,AGRA,POORAN CHAND SHARMA PRIVATE ITI [1174 ] - AGRA,1174,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1174,Private
13,AGRA,"SARASWATI PRIVATE INDUSTRIAL TRAINING INSTITUTE [1183], TURAKIYA (NEHAR), AGRA",1183,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1183,Private
14,AGRA,MAA PEETAMBRA PRIVATE ITI [1185 ] - AGRA,1185,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1185,Private
15,AGRA,R.D. PRIVATE ITI [1949 ] - AGRA,1949,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=1949,Private
16,AGRA,BALAJI PRIVATE ITI [2322 ] - AGRA,2322,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=2322,Private
17,AGRA,SHRI VISHWKARMA PRIVATE ITI AMIT NAGAR DEORI ROAD AGRA [2323 ] - AGRA,2323,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=2323,Private
18,AGRA,SMT. ASHARFI DEVI PRIVATE ITI [2334 ] - AGRA,2334,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=2334,Private
19,AGRA,T. N. P. S. PRIVATE ITI [2325] - AGRA,2325,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=2325,Private
20,AGRA,SMT. SHAKUNTALA DEVI PRIVATE ITI [2326] - AGRA,2326,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=2326,Private
21,AGRA,LALCHANDRA BHAGWANDAS PRIVATE ITC [2328] - AGRA,2328,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=2328,Private
22,AGRA,SHRI BANKEBIHARI PRIVATE ITI [2329] - AGRA,2329,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=2329,Private
23,AGRA,"SARASWATI PRIVATE ITI [2331] -FATEHPUR SIKRI, AGRA",2331,http://apps.vppup.in/General/frmitiProfilePageDetails_New.aspx?j=2331,Private
